id,net_area_under_curve_weight_data,Global_CDS
CC001/Unc,-0.8559,65.61111111
CC002/Unc,-76.49,44.5
CC003/Unc,15.78,33
CC004/TauUnc,-211,139.4285714
CC006/TauUnc,5.361,20.7
CC010/GeniUnc,-134.3,45.4
CC011/Unc,-117,0.7
CC018/Unc,152.7,34.11111111
CC020/GeniUnc,222.9,2.3
CC023/GeniUnc,135,22.4
CC028/GeniUnc,-306.7,150.9
CC030/GeniUnc,-109.4,93.2
CC031/GeniUnc,-21.76,26
CC032/GeniUnc,43.26,27.1
CC036/Unc,-56.23,17.8
CC037/TauUnc,-340.8,78.75
CC038/GeniUnc,39.27,24.75
CC040/TauUnc,44.31,11.88888889
CC041/TauUnc,-207.5,95.3
CC042/GeniUnc,-59.86,70.65
CC043/GeniUnc,-199.6,104.05
CC044/Unc,98.01,3.5
CC046/Unc,-74.64,57.1
CC051/TauUnc,-125.9,32.15
CC059/TauUnc,-222,40.8
CC061/GeniUnc,-105.5,44.09090909
CC068/TauUnc,-81.74,6.444444444
CC072/TauUnc,48.84,19.6
CC074/Unc,-7.024,23.4
CC075/Unc,-6.025,61.55
