ID,Strain,Sex,EXP,Scored By,LFB SC Overall,LFB Brain Overall
3401,C57BL/6,F,X126,LD,3,1
3403,C57BL/6,F,X126,LD,4,2
3404,C57BL/6,F,X126,LD,0,0
3411,C57BL/6,F,X126,LD+EAN,3,0
3412,C57BL/6,F,X126,LD+EAN,3,1
3409,C57BL/6,F,X126,EAN,1,1
3410,C57BL/6,F,X126,EAN,3,0
3702,C57BL/6,F,X134,LD+EAN,3,2
3703,C57BL/6,F,X134,LD+EAN,3,1
3705,C57BL/6,F,X134,LD+EAN,4,1
3701,C57BL/6,F,X134,EAN,2,0
3704,C57BL/6,F,X134,EAN,3,1
3815,C57BL/6,F,X157,LD,1,2
5132,C57BL/6,F,X191,LD,3,0
5135,C57BL/6,F,X191,LD,2,1
3405,C57BL/6,M,X126,LD,3,2
3406,C57BL/6,M,X126,LD,2,1
3407,C57BL/6,M,X126,LD,3,2
3413,C57BL/6,M,X126,EAN,3,2
3414,C57BL/6,M,X126,EAN,4,0
3415,C57BL/6,M,X126,LD+EAN,2,1
3416,C57BL/6,M,X126,EAN,4,1
3706,C57BL/6,M,X134,LD+EAN,3,2
3707,C57BL/6,M,X134,LD+EAN,2,1
3708,C57BL/6,M,X134,LD+EAN,2,0
3709,C57BL/6,M,X134,LD+EAN,3,1
3710,C57BL/6,M,X134,LD+EAN,3,2
3819,C57BL/6,M,X157,LD,3,2
5129,C57BL/6,M,X191,LD,3,2
5130,C57BL/6,M,X191,LD,3,2
5131,C57BL/6,M,X191,LD,3,0
3778,CC002,F,X134,EAN,2,2
3779,CC002,F,X134,EAN,4,1
3780,CC002,F,X134,EAN,3,2
3781,CC002,F,X134,EAN,3,0
3782,CC002,F,X134,EAN,3,0
3427,CC002,M,X126,EAN,2,2
3428,CC002,M,X126,EAN,2,1
3783,CC002,M,X134,EAN,3,0
3784,CC002,M,X134,EAN,2,0
3823,CC002,M,X157,EAN,3,0
3824,CC002,M,X157,EAN,2,0
3554,CC004,F,X126,EAN,3,4
3555,CC004,F,X126,EAN,3,1
3556,CC004,F,X126,EAN,3,3
3557,CC004,F,X126,EAN,3,2
3558,CC004,F,X126,EAN,3,3
3788,CC004,F,X134,EAN,3,4
3789,CC004,F,X134,EAN,3,2
3501,CC004,M,X126,EAN,3,1
3502,CC004,M,X126,EAN,4,1
3503,CC004,M,X126,EAN,4,3
3790,CC004,M,X134,EAN,3,4
3791,CC004,M,X134,EAN,1,0
3792,CC004,M,X134,EAN,3,1
3793,CC004,M,X134,EAN,3,0
3829,CC028,F,X157,EAN,3,0
3830,CC028,F,X157,EAN,4,1
3356,CC028 ,F,X126,EAN,2,0
3357,CC028 ,F,X126,EAN,4,0
3358,CC028 ,F,X126,EAN,3,0
3459,CC028 ,M,X126,EAN,3,2
3460,CC028 ,M,X126,EAN,4,3
3461,CC028 ,M,X126,EAN,3,1
3462,CC028 ,M,X126,EAN,1,1
3463,CC028 ,M,X126,EAN,3,0
3567,CC011,F,X126,LD,0,2
3568,CC011,F,X126,LD,1,1
3569,CC011,F,X126,LD,3,1
3825,CC011,F,X157,LD,1,1
3826,CC011,F,X157,LD,0,1
3570,CC011,M,X126,LD,0,1
3571,CC011,M,X126,LD,1,1
3572,CC011,M,X126,LD,1,3
3573,CC011,M,X126,LD,1,2
3574,CC011,M,X126,LD,0,1
3827,CC018,F,X157,LD,1,0
3348,CC018 ,F,X126,LD,3,0
3349,CC018 ,F,X126,LD,1,1
3350,CC018 ,F,X126,LD,4,0
3351,CC018 ,M,X126,LD,2,1
3352,CC018 ,M,X126,LD,1,1
3353,CC018 ,M,X126,LD,1,0
3355,CC018 ,M,X126,LD,0,1
5137,CC020,F,X191,LD,0,0
5138,CC020,F,X191,LD,0,0
5139,CC020,F,X191,LD,1,0
5140,CC020,F,X191,LD,0,1
5141,CC020,F,X191,LD,1,3
5142,CC020,M,X191,LD,0,0
5143,CC020,M,X191,LD,0,0
5144,CC020,M,X191,LD,0,0
5145,CC020,M,X191,LD,0,1
5146,CC020,M,X191,LD,0,0
3514,CC041,F,X126,LD,3,2
3515,CC041,F,X126,LD,3,2
3516,CC041,F,X126,LD,4,1
3517,CC041,F,X126,LD,3,3
3518,CC041,F,X126,LD,3,1
3519,CC041,M,X126,LD,3,0
3520,CC041,M,X126,LD,1,1
3521,CC041,M,X126,LD,3,1
3522,CC041,M,X126,LD,1,1
3523,CC041,M,X126,LD,3,1
3474,CC043,F,X126,LD,3,2
3475,CC043,F,X126,LD,4,2
3746,CC043,F,X134,LD,3,2
3747,CC043,F,X134,LD,3,2
3748,CC043,F,X134,LD,2,2
3476,CC043,M,X126,LD,4,2
3477,CC043,M,X126,LD,3,2
3749,CC043,M,X134,LD,3,3
3750,CC043,M,X134,LD,2,1
3751,CC043,M,X134,LD,3,2
3534,CC059,F,X126,LD,3,2
3535,CC059,F,X126,LD,3,2
3536,CC059,F,X126,LD,3,1
3537,CC059,F,X126,LD,2,1
3538,CC059,F,X126,LD,3,1
3539,CC059,M,X126,LD,2,1
3540,CC059,M,X126,LD,3,1
3541,CC059,M,X126,LD,1,1
3542,CC059,M,X126,LD,1,2
3543,CC059,M,X126,LD,2,1
